ConversationIDDataImpl,SpeakerDataImpl,StartTimeDataImpl,EndTimeDataImpl,PlainTextDataImpl,LowercaseDialoguePreProcessorImpl,SplitJointWordsPreProcessorImpl.PlainTextDialoguePreProcessorImpl,SplitJointWordsPreProcessorImpl,ExpandContractionsDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,ExpandContractionsDialoguePreProcessorImpl,RemoveNumericCharactersDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,RemoveNumericCharactersDialoguePreProcessorImpl,RemoveEmailsDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,RemoveEmailsDialoguePreProcessorImpl,RemovePunctuationDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,RemovePunctuationDialoguePreProcessorImpl,SpellCheckerDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,SpellCheckerDialoguePreProcessorImpl,RemoveStopWordsDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,RemoveStopWordsDialoguePreProcessorImpl,PorterStemmerDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,PorterStemmerDialoguePreProcessorImpl,PorterStemmerDialoguePreProcessorImpl.SpellCheckerDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,PorterStemmerDialoguePreProcessorImpl.SpellCheckerDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl.SpellCheckerDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl.SpellCheckerDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl.RemoveStopWordsDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl.RemoveStopWordsDialoguePreProcessorImpl
21,1,381,384, Bye bye., bye bye., Bye bye., bye bye., Bye bye., bye bye., Bye bye., bye bye., Bye bye., bye bye., Bye bye, bye bye, Bye bye, bye bye, Bye bye , bye bye , bye bye , bye bye , bye bye, bye bye, Bye bye, bye bye, Bye bye , bye bye 
22,0,1,2, Thank you for calling direct express card services this is Mercedes how may I help you., thank you for calling direct express card services this is mercedes how may i help you., Thank you for calling direct express card services this is Mercedes how may I help you., thank you for calling direct express card services this is mercedes how may i help you., Thank you for calling direct express card services this is Mercedes how may I help you., thank you for calling direct express card services this is mercedes how may i help you., Thank you for calling direct express card services this is Mercedes how #  I help you., thank you for calling direct express card services this is mercedes how #  i help you., Thank you for calling direct express card services this is Mercedes how #  I help you., thank you for calling direct express card services this is mercedes how #  i help you., Thank you for calling direct express card services this is Mercedes how   I help you, thank you for calling direct express card services this is mercedes how   i help you, Thank you for calling direct express card services this is Mercedes how I help you, thank you for calling direct express card services this is mercedes how i help you, Thank calling direct express card services Mercedes I help , thank calling direct express card services mercedes help , thank call direct express card servic merced I help , thank call direct express card servic merced help , thank you for call direct express card servic thi is merced how I help you, thank you for call direct express card servic thi is merced how i help you, Thank you for call direct express card service this be Mercedes how I help you, thank you for call direct express card service this be mercedes how i help you, Thank call direct express card service Mercedes I help , thank call direct express card service mercedes help 
22,1,8,17, Hi I was gonna say my deposit hasn't gone through yet it says pending., hi i was gonna say my deposit hasn't gone through yet it says pending., Hi I was gonna say my deposit hasn't gone through yet it says pending., hi i was gonna say my deposit hasn't gone through yet it says pending., Hi I was gonna say my deposit has not gone through yet it says pending., hi i was gonna say my deposit has not gone through yet it says pending., Hi I was gonna say my deposit has not gone through yet it says pending., hi i was gonna say my deposit has not gone through yet it says pending., Hi I was gonna say my deposit has not gone through yet it says pending., hi i was gonna say my deposit has not gone through yet it says pending., Hi I was gonna say my deposit has not gone through yet it says pending, hi i was gonna say my deposit has not gone through yet it says pending, Hi I was gonna say my deposit has not gone through yet it says pending, hi i was gonna say my deposit has not gone through yet it says pending, Hi I gonna say deposit gone yet says pending , hi gonna say deposit gone yet says pending , Hi I gonna say deposit gone yet say pend , hi gonna say deposit gone yet say pend , Hi I wa gonna say my deposit ha not gone through yet it say pend, hi i wa gonna say my deposit ha not gone through yet it say pend, Hi I be gonna say my deposit have not go through yet it say pending, hi i be gonna say my deposit have not go through yet it say pending, Hi I gonna say deposit go yet say pending , hi gonna say deposit go yet say pending 
22,0,20,30, May I have the last four digits of your card number please., may i have the last four digits of your card number please., May I have the last four digits of your card number please., may i have the last four digits of your card number please., May I have the last four digits of your card number please., may i have the last four digits of your card number please., May I have the last #  digits of your card number please., #  i have the last #  digits of your card number please., May I have the last #  digits of your card number please., #  i have the last #  digits of your card number please., May I have the last   digits of your card number please,   i have the last   digits of your card number please, May I have the last digits of your card number please, i have the last digits of your card number please, May I last digits card number please , last digits card number please , may I last digit card number pleas , last digit card number pleas , may I have the last digit of your card number pleas, i have the last digit of your card number pleas, May I have the last digits of your card number please, i have the last digits of your card number please, May I last digits card number please , last digits card number please 
22,1,39,47,,,,,,,,,,,,,,,,,,,,,,,,
22,1,53,62, Nine ninety six., nine ninety six., Nine ninety six., nine ninety six., Nine ninety six., nine ninety six., Nine #  # ., #  #  # ., Nine #  # ., #  #  # ., Nine    ,      , Nine , , Nine  ,  , nine , , nine , , Nine , , Nine , 
22,0,65,69, Your first and last name., your first and last name., Your first and last name., your first and last name., Your first and last name., your first and last name., Your first and last name., your first and last name., Your first and last name., your first and last name., Your first and last name, your first and last name, Your first and last name, your first and last name, Your first last name , first last name , your first last name , first last name , your first and last name, your first and last name, Your first and last name, your first and last name, Your first last name , first last name 
22,1,71,77, Donna Karan., donna karan., Donna Karan., donna karan., Donna Karan., donna karan., Donna Karan., donna karan., Donna Karan., donna karan., Donna Karan, donna karan, Donna Karan, donna karan, Donna Karan , donna karan , donna karan , donna karan , donna karan, donna karan, Donna Karan, donna karan, Donna Karan , donna karan 
22,0,80,89, The in the last four of your social please., the in the last four of your social please., The in the last four of your social please., the in the last four of your social please., The in the last four of your social please., the in the last four of your social please., The in the last #  of your social please., the in the last #  of your social please., The in the last #  of your social please., the in the last #  of your social please., The in the last   of your social please, the in the last   of your social please, The in the last of your social please, the in the last of your social please, The last social please , last social please , the last social pleas , last social pleas , the in the last of your social pleas, the in the last of your social pleas, The in the last of your social please, the in the last of your social please, The last social please , last social please 
22,1,97,98, Eight three six four., eight three six four., Eight three six four., eight three six four., Eight three six four., eight three six four., Eight #  #  # ., #  #  #  # ., Eight #  #  # ., #  #  #  # ., Eight      ,        , Eight , , Eight  ,  , eight , , eight , , Eight , , Eight , 
22,0,104,114, Thank you miss macleod let's see., thank you miss macleod let's see., Thank you miss macleod let's see., thank you miss macleod let's see., Thank you miss macleod let us see., thank you miss macleod let us see., Thank you miss macleod let us see., thank you miss macleod let us see., Thank you miss macleod let us see., thank you miss macleod let us see., Thank you miss macleod let us see, thank you miss macleod let us see, Thank you miss macleod let us see, thank you miss macleod let us see, Thank miss macleod let us see , thank miss macleod let us see , thank miss macleod let us see , thank miss macleod let us see , thank you miss macleod let us see, thank you miss macleod let us see, Thank you miss macleod let us see, thank you miss macleod let us see, Thank miss macleod let us see , thank miss macleod let us see 
22,0,118,124, No you're fine I see that it's logged is probably still I would say check around eight o'clock in the morning but it would probably come on sometime before then but thinking that's probably just what it is., no you're fine i see that it's logged is probably still i would say check around eight o'clock in the morning but it would probably come on sometime before then but thinking that's probably just what it is., No you're fine I see that it's logged is probably still I would say check around eight o'clock in the morning but it would probably come on sometime before then but thinking that's probably just what it is., no you're fine i see that it's logged is probably still i would say check around eight o'clock in the morning but it would probably come on sometime before then but thinking that's probably just what it is., No you are fine I see that it is logged is probably still I would say check around eight of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is., no you are fine i see that it is logged is probably still i would say check around eight of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is., No you are fine I see that it is logged is probably still I would say check around #  of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is., no you are fine i see that it is logged is probably still i would say check around #  of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is., No you are fine I see that it is logged is probably still I would say check around #  of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is., no you are fine i see that it is logged is probably still i would say check around #  of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is., No you are fine I see that it is logged is probably still I would say check around   of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is, no you are fine i see that it is logged is probably still i would say check around   of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is, No you are fine I see that it is logged is probably still I would say check around of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is, no you are fine i see that it is logged is probably still i would say check around of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is, No fine I see logged probably still I would say check around clock morning would probably come sometime thinking probably , fine see logged probably still would say check around clock morning would probably come sometime thinking probably , No fine I see log probabl still I would say check around clock morn would probabl come sometim think probabl , fine see log probabl still would say check around clock morn would probabl come sometim think probabl , No you are fine I see that it is log is probabl still I would say check around of the clock in the morn but it would probabl come on sometim befor then but think that is probabl just what it is, no you are fine i see that it is log is probabl still i would say check around of the clock in the morn but it would probabl come on sometim befor then but think that is probabl just what it is, No you be fine I see that it be log be probably still I would say check around of the clock in the morning but it would probably come on sometime before then but think that be probably just what it be, no you be fine i see that it be log be probably still i would say check around of the clock in the morning but it would probably come on sometime before then but think that be probably just what it be, No fine I see log probably still I would say check around clock morning would probably come sometime think probably , fine see log probably still would say check around clock morning would probably come sometime think probably 
22,0,133,136, It prior I'm not I don't think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still eleven forty two., it prior i'm not i don't think that it hits at midnight exactly i think it might come like over you know over the night because in my time is still eleven forty two., It prior I'm not I don't think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still eleven forty two., it prior i'm not i don't think that it hits at midnight exactly i think it might come like over you know over the night because in my time is still eleven forty two., It prior I'm not I do not think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still eleven forty two., it prior i am not i do not think that it hits at midnight exactly i think it might come like over you know over the night because in my time is still eleven forty two., It prior I'm not I do not think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still #  #  # ., it prior i am not i do not think that it hits at midnight exactly i think it might come like over you know over the night because in my time is still #  #  # ., It prior I'm not I do not think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still #  #  # ., it prior i am not i do not think that it hits at midnight exactly i think it might come like over you know over the night because in my time is still #  #  # ., It prior Im not I do not think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still      , it prior i am not i do not think that it hits at midnight exactly i think it might come like over you know over the night because in my time is still      , It prior Im not I do not think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still , it prior i am not i do not think that it hits at midnight exactly i think it might come like over you know over the night because in my time is still , It prior Im I think hits midnight exactly I think might come like know night time still  , prior think hits midnight exactly think might come like know night time still  , It prior Im I think hit midnight exactli I think might come like know night time still , prior think hit midnight exactli think might come like know night time still , It prior Im not I do not think that it hit at midnight exactli I think it might come like over you know over the night becaus in my time is still , it prior i am not i do not think that it hit at midnight exactli i think it might come like over you know over the night becaus in my time is still , It prior Im not I do not think that it hit at midnight exactly I think it might come like over you know over the night because in my time be still , it prior i be not i do not think that it hit at midnight exactly i think it might come like over you know over the night because in my time be still , It prior Im I think hit midnight exactly I think might come like know night time still , prior think hit midnight exactly think might come like know night time still 
22,1,142,147, Yeah I got you so maybe it., yeah i got you so maybe it., Yeah I got you so maybe it., yeah i got you so maybe it., Yeah I got you so maybe it., yeah i got you so maybe it., Yeah I got you so maybe it., yeah i got you so maybe it., Yeah I got you so maybe it., yeah i got you so maybe it., Yeah I got you so maybe it, yeah i got you so maybe it, Yeah I got you so maybe it, yeah i got you so maybe it, Yeah I got maybe , yeah got maybe , yeah I got mayb , yeah got mayb , yeah I got you so mayb it, yeah i got you so mayb it, Yeah I get you so maybe it, yeah i get you so maybe it, Yeah I get maybe , yeah get maybe 
22,0,156,165, Yeah I would say just check around eight in the morning but it'd probably be only before then I would say., yeah i would say just check around eight in the morning but it'd probably be only before then i would say., Yeah I would say just check around eight in the morning but it'd probably be only before then I would say., yeah i would say just check around eight in the morning but it'd probably be only before then i would say., Yeah I would say just check around eight in the morning but it would probably be only before then I would say., yeah i would say just check around eight in the morning but it would probably be only before then i would say., Yeah I would say just check around #  in the morning but it would probably be only before then I would say., yeah i would say just check around #  in the morning but it would probably be only before then i would say., Yeah I would say just check around #  in the morning but it would probably be only before then I would say., yeah i would say just check around #  in the morning but it would probably be only before then i would say., Yeah I would say just check around   in the morning but it would probably be only before then I would say, yeah i would say just check around   in the morning but it would probably be only before then i would say, Yeah I would say just check around in the morning but it would probably be only before then I would say, yeah i would say just check around in the morning but it would probably be only before then i would say, Yeah I would say check around morning would probably I would say , yeah would say check around morning would probably would say , yeah I would say check around morn would probabl I would say , yeah would say check around morn would probabl would say , yeah I would say just check around in the morn but it would probabl be onli befor then I would say, yeah i would say just check around in the morn but it would probabl be onli befor then i would say, Yeah I would say just check around in the morning but it would probably be only before then I would say, yeah i would say just check around in the morning but it would probably be only before then i would say, Yeah I would say check around morning would probably I would say , yeah would say check around morning would probably would say 
22,1,167,173, Four or five., four or five., Four or five., four or five., Four or five., four or five., Four or # ., #  or # ., Four or # ., #  or # ., Four or  ,   or  , Four or , or , Four  ,  , four , , four or , or , Four or , or , Four , 
22,1,183,185, All right well okay., all right well okay., All right well okay., all right well okay., All right well okay., all right well okay., All right well okay., all right well okay., All right well okay., all right well okay., All right well okay, all right well okay, All right well okay, all right well okay, All right well okay , right well okay , all right well okay , right well okay , all right well okay, all right well okay, All right well okay, all right well okay, All right well okay , right well okay 
22,0,194,198, Was there anything else I could assist you with this quote., was there anything else i could assist you with this quote., Was there anything else I could assist you with this quote., was there anything else i could assist you with this quote., Was there anything else I could assist you with this quote., was there anything else i could assist you with this quote., Was there anything else I could assist you with this quote., was there anything else i could assist you with this quote., Was there anything else I could assist you with this quote., was there anything else i could assist you with this quote., Was there anything else I could assist you with this quote, was there anything else i could assist you with this quote, Was there anything else I could assist you with this quote, was there anything else i could assist you with this quote, Was anything else I could assist quote , anything else could assist quote , wa anyth els I could assist quot , anyth els could assist quot , wa there anyth els I could assist you with thi quot, wa there anyth els i could assist you with thi quot, Was there anything else I could assist you with this quote, be there anything else i could assist you with this quote, Was anything else I could assist quote , anything else could assist quote 
22,1,203,207, Nope that's it and I also wanted to set up the notification so I could take a message., nope that's it and i also wanted to set up the notification so i could take a message., Nope that's it and I also wanted to set up the notification so I could take a message., nope that's it and i also wanted to set up the notification so i could take a message., Nope that is it and I also wanted to set up the notification so I could take a message., nope that is it and i also wanted to set up the notification so i could take a message., Nope that is it and I also wanted to set up the notification so I could take a message., nope that is it and i also wanted to set up the notification so i could take a message., Nope that is it and I also wanted to set up the notification so I could take a message., nope that is it and i also wanted to set up the notification so i could take a message., Nope that is it and I also wanted to set up the notification so I could take a message, nope that is it and i also wanted to set up the notification so i could take a message, Nope that is it and I also wanted to set up the notification so I could take a message, nope that is it and i also wanted to set up the notification so i could take a message, Nope I also wanted set notification I could take message , nope also wanted set notification could take message , nope I also want set notif I could take messag , nope also want set notif could take messag , nope that is it and I also want to set up the notif so I could take a messag, nope that is it and i also want to set up the notif so i could take a messag, Nope that be it and I also want to set up the notification so I could take a message, nope that be it and i also want to set up the notification so i could take a message, Nope I also want set notification I could take message , nope also want set notification could take message 
22,0,217,221, Okay hang on I can go ahead and set that up for you., okay hang on i can go ahead and set that up for you., Okay hang on I can go ahead and set that up for you., okay hang on i can go ahead and set that up for you., Okay hang on I can go ahead and set that up for you., okay hang on i can go ahead and set that up for you., Okay hang on I can go ahead and set that up for you., okay hang on i can go ahead and set that up for you., Okay hang on I can go ahead and set that up for you., okay hang on i can go ahead and set that up for you., Okay hang on I can go ahead and set that up for you, okay hang on i can go ahead and set that up for you, Okay hang on I can go ahead and set that up for you, okay hang on i can go ahead and set that up for you, Okay hang I go ahead set , okay hang go ahead set , okay hang I go ahead set , okay hang go ahead set , okay hang on I can go ahead and set that up for you, okay hang on i can go ahead and set that up for you, Okay hang on I can go ahead and set that up for you, okay hang on i can go ahead and set that up for you, Okay hang I go ahead set , okay hang go ahead set 
22,0,222,232, May I get you to verify your phone number for me., may i get you to verify your phone number for me., May I get you to verify your phone number for me., may i get you to verify your phone number for me., May I get you to verify your phone number for me., may i get you to verify your phone number for me., May I get you to verify your phone number for me., #  i get you to verify your phone number for me., May I get you to verify your phone number for me., #  i get you to verify your phone number for me., May I get you to verify your phone number for me,   i get you to verify your phone number for me, May I get you to verify your phone number for me, i get you to verify your phone number for me, May I get verify phone number , get verify phone number , may I get verifi phone number , get verifi phone number , may I get you to verifi your phone number for me, i get you to verifi your phone number for me, May I get you to verify your phone number for me, i get you to verify your phone number for me, May I get verify phone number , get verify phone number 
22,1,237,247, Four seven eight nine six one six., four seven eight nine six one six., Four seven eight nine six one six., four seven eight nine six one six., Four seven eight nine six one six., four seven eight nine six one six., Four #  #  #  #  #  # ., #  #  #  #  #  #  # ., Four #  #  #  #  #  # ., #  #  #  #  #  #  # ., Four            ,              , Four , , Four  ,  , four , , four , , Four , , Four , 
22,0,257,264, C.., c.., C.., c.., C.., c.., C.., c.., C.., c.., C, c, C, c, C , c , C , c , C, c, C, c, C , c 
22,0,270,277, Okay., okay., Okay., okay., Okay., okay., Okay., okay., Okay., okay., Okay, okay, Okay, okay, Okay , okay , okay , okay , okay, okay, Okay, okay, Okay , okay 
22,0,281,283, And you set those up for you., and you set those up for you., And you set those up for you., and you set those up for you., And you set those up for you., and you set those up for you., And you set those up for you., and you set those up for you., And you set those up for you., and you set those up for you., And you set those up for you, and you set those up for you, And you set those up for you, and you set those up for you, And set , set , and set , set , and you set those up for you, and you set those up for you, And you set those up for you, and you set those up for you, And set , set 
22,0,286,294,,,,,,,,,,,,,,,,,,,,,,,,
22,0,304,310, Okay give me a minute or two while I set these up real quick., okay give me a minute or two while i set these up real quick., Okay give me a minute or two while I set these up real quick., okay give me a minute or two while i set these up real quick., Okay give me a minute or two while I set these up real quick., okay give me a minute or two while i set these up real quick., Okay give me a minute or #  while I set these up real quick., okay give me a minute or #  while i set these up real quick., Okay give me a minute or #  while I set these up real quick., okay give me a minute or #  while i set these up real quick., Okay give me a minute or   while I set these up real quick, okay give me a minute or   while i set these up real quick, Okay give me a minute or while I set these up real quick, okay give me a minute or while i set these up real quick, Okay give minute I set real quick , okay give minute set real quick , okay give minut I set real quick , okay give minut set real quick , okay give me a minut or while I set these up real quick, okay give me a minut or while i set these up real quick, Okay give me a minute or while I set these up real quick, okay give me a minute or while i set these up real quick, Okay give minute I set real quick , okay give minute set real quick 
22,1,315,316, Well., well., Well., well., Well., well., Well., well., Well., well., Well, well, Well, well, Well , well , well , well , well, well, Well, well, Well , well 
22,0,317,321, Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with., okay miss macleod i went and got those all those notification set up for you was there anything else i can help you with., Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with., okay miss macleod i went and got those all those notification set up for you was there anything else i can help you with., Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with., okay miss macleod i went and got those all those notification set up for you was there anything else i can help you with., Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with., okay miss macleod i went and got those all those notification set up for you was there anything else i can help you with., Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with., okay miss macleod i went and got those all those notification set up for you was there anything else i can help you with., Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with, okay miss macleod i went and got those all those notification set up for you was there anything else i can help you with, Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with, okay miss macleod i went and got those all those notification set up for you was there anything else i can help you with, Okay miss macleod I went got notification set anything else I help , okay miss macleod went got notification set anything else help , okay miss macleod I went got notif set anyth els I help , okay miss macleod went got notif set anyth els help , okay miss macleod I went and got those all those notif set up for you wa there anyth els I can help you with, okay miss macleod i went and got those all those notif set up for you wa there anyth els i can help you with, Okay miss macleod I go and get those all those notification set up for you be there anything else I can help you with, okay miss macleod i go and get those all those notification set up for you be there anything else i can help you with, Okay miss macleod I go get notification set anything else I help , okay miss macleod go get notification set anything else help 
22,0,327,332, All right thank you for calling direct express card services basically you have a great night., all right thank you for calling direct express card services basically you have a great night., All right thank you for calling direct express card services basically you have a great night., all right thank you for calling direct express card services basically you have a great night., All right thank you for calling direct express card services basically you have a great night., all right thank you for calling direct express card services basically you have a great night., All right thank you for calling direct express card services basically you have a great night., all right thank you for calling direct express card services basically you have a great night., All right thank you for calling direct express card services basically you have a great night., all right thank you for calling direct express card services basically you have a great night., All right thank you for calling direct express card services basically you have a great night, all right thank you for calling direct express card services basically you have a great night, All right thank you for calling direct express card services basically you have a great night, all right thank you for calling direct express card services basically you have a great night, All right thank calling direct express card services basically great night , right thank calling direct express card services basically great night , all right thank call direct express card servic basic great night , right thank call direct express card servic basic great night , all right thank you for call direct express card servic basic you have a great night, all right thank you for call direct express card servic basic you have a great night, All right thank you for call direct express card service basically you have a great night, all right thank you for call direct express card service basically you have a great night, All right thank call direct express card service basically great night , right thank call direct express card service basically great night 
22,1,337,341, Thank you., thank you., Thank you., thank you., Thank you., thank you., Thank you., thank you., Thank you., thank you., Thank you, thank you, Thank you, thank you, Thank , thank , thank , thank , thank you, thank you, Thank you, thank you, Thank , thank 
22,0,342,347, No problem., no problem., No problem., no problem., No problem., no problem., No problem., no problem., No problem., no problem., No problem, no problem, No problem, no problem, No problem , problem , No problem , problem , No problem, no problem, No problem, no problem, No problem , problem 
23,2,1,2, They've gone records record servers my name is Matthew how may I help you., they've gone records record servers my name is matthew how may i help you., They've gone records record servers my name is Matthew how may I help you., they've gone records record servers my name is matthew how may i help you., They've gone records record servers my name is Matthew how may I help you., they have gone records record servers my name is matthew how may i help you., They've gone records record servers my name is Matthew how #  I help you., they have gone records record servers my name is matthew how #  i help you., They've gone records record servers my name is Matthew how #  I help you., they have gone records record servers my name is matthew how #  i help you., Theyve gone records record servers my name is Matthew how   I help you, they have gone records record servers my name is matthew how   i help you, they gone records record servers my name is Matthew how I help you, they have gone records record servers my name is matthew how i help you, gone records record servers name Matthew I help , gone records record servers name matthew help , gone record record server name matthew I help , gone record record server name matthew help , they gone record record server my name is matthew how I help you, they have gone record record server my name is matthew how i help you, they go record record servers my name be Matthew how I help you, they have go record record servers my name be matthew how i help you, go record record servers name Matthew I help , go record record servers name matthew help 
23,0,8,17, Hi., hi., Hi., hi., Hi., hi., Hi., hi., Hi., hi., Hi, hi, Hi, hi, Hi , hi , Hi , hi , Hi, hi, Hi, hi, Hi , hi 
23,2,18,27, Hey how., hey how., Hey how., hey how., Hey how., hey how., Hey how., hey how., Hey how., hey how., Hey how, hey how, Hey how, hey how, Hey , hey , hey , hey , hey how, hey how, Hey how, hey how, Hey , hey 
23,0,33,37, We just tried to activate a card that tells us that you need more information on this profile., we just tried to activate a card that tells us that you need more information on this profile., We just tried to activate a card that tells us that you need more information on this profile., we just tried to activate a card that tells us that you need more information on this profile., We just tried to activate a card that tells us that you need more information on this profile., we just tried to activate a card that tells us that you need more information on this profile., We just tried to activate a card that tells us that you need more information on this profile., we just tried to activate a card that tells us that you need more information on this profile., We just tried to activate a card that tells us that you need more information on this profile., we just tried to activate a card that tells us that you need more information on this profile., We just tried to activate a card that tells us that you need more information on this profile, we just tried to activate a card that tells us that you need more information on this profile, We just tried to activate a card that tells us that you need more information on this profile, we just tried to activate a card that tells us that you need more information on this profile, We tried activate card tells us need information profile , tried activate card tells us need information profile , We tri activ card tell us need inform profil , tri activ card tell us need inform profil , We just tri to activ a card that tell us that you need more inform on thi profil, we just tri to activ a card that tell us that you need more inform on thi profil, We just try to activate a card that tell us that you need more information on this profile, we just try to activate a card that tell us that you need more information on this profile, We try activate card tell us need information profile , try activate card tell us need information profile 
23,2,47,54, Yes so we need to let you know how the card works essentially and make sure that we have the correct information., yes so we need to let you know how the card works essentially and make sure that we have the correct information., Yes so we need to let you know how the card works essentially and make sure that we have the correct information., yes so we need to let you know how the card works essentially and make sure that we have the correct information., Yes so we need to let you know how the card works essentially and make sure that we have the correct information., yes so we need to let you know how the card works essentially and make sure that we have the correct information., Yes so we need to let you know how the card works essentially and make sure that we have the correct information., yes so we need to let you know how the card works essentially and make sure that we have the correct information., Yes so we need to let you know how the card works essentially and make sure that we have the correct information., yes so we need to let you know how the card works essentially and make sure that we have the correct information., Yes so we need to let you know how the card works essentially and make sure that we have the correct information, yes so we need to let you know how the card works essentially and make sure that we have the correct information, Yes so we need to let you know how the card works essentially and make sure that we have the correct information, yes so we need to let you know how the card works essentially and make sure that we have the correct information, Yes need let know card works essentially make sure correct information , yes need let know card works essentially make sure correct information , ye need let know card work essenti make sure correct inform , ye need let know card work essenti make sure correct inform , ye so we need to let you know how the card work essenti and make sure that we have the correct inform, ye so we need to let you know how the card work essenti and make sure that we have the correct inform, Yes so we need to let you know how the card work essentially and make sure that we have the correct information, yes so we need to let you know how the card work essentially and make sure that we have the correct information, Yes need let know card work essentially make sure correct information , yes need let know card work essentially make sure correct information 
